step,train_acc
0,0.3359375
10,0.25
20,0.3125
30,0.2890625
40,0.3125
50,0.25
60,0.3359375
70,0.28125
80,0.328125
90,0.2734375
100,0.3203125
110,0.3125
120,0.3046875
130,0.2890625
140,0.2890625
150,0.3203125
160,0.265625
170,0.2890625
180,0.28125
190,0.3046875
200,0.3515625
210,0.3125
220,0.265625
230,0.21875
240,0.359375
250,0.359375
260,0.3046875
270,0.2890625
280,0.3125
290,0.359375
300,0.2578125
310,0.296875
320,0.296875
330,0.3125
340,0.28125
350,0.28125
360,0.3046875
370,0.3203125
380,0.28125
390,0.2265625
400,0.328125
410,0.328125
420,0.3046875
430,0.2578125
440,0.3046875
450,0.3359375
460,0.25
470,0.28125
480,0.3203125
490,0.34375
500,0.3125
510,0.2578125
520,0.359375
530,0.3125
540,0.2890625
550,0.265625
560,0.3359375
570,0.234375
580,0.2734375
590,0.3203125
600,0.28125
610,0.3359375
620,0.3046875
630,0.296875
640,0.2578125
650,0.3125
660,0.296875
670,0.2265625
680,0.3203125
690,0.2109375
700,0.2890625
710,0.3046875
720,0.28125
730,0.2578125
740,0.2890625
750,0.2578125
760,0.296875
770,0.3125
780,0.2578125
790,0.234375
800,0.2578125
810,0.296875
820,0.328125
830,0.296875
840,0.234375
850,0.3125
860,0.2578125
870,0.296875
880,0.2890625
890,0.3125
900,0.3515625
910,0.2734375
920,0.2890625
930,0.296875
940,0.265625
950,0.3203125
960,0.3046875
970,0.25
980,0.2890625
990,0.25
