step,loss
0,0.0066926163
10,0.0059196525
20,0.006059834
30,0.005163721
40,0.005480445
50,0.0064280187
60,0.006469359
70,0.006454442
80,0.0062368317
90,0.005523864
100,0.006002196
110,0.0058810883
120,0.006221396
130,0.006024668
140,0.005449021
150,0.006875404
160,0.005822825
170,0.0064306497
180,0.005412624
190,0.0058001964
200,0.0060775653
210,0.0052248086
220,0.0058245794
230,0.005609622
240,0.005882581
250,0.006080586
260,0.0065475386
270,0.005351977
280,0.006695406
290,0.0056270207
300,0.0064299447
310,0.006484251
320,0.0065811677
330,0.0061745998
340,0.005552788
350,0.005623875
360,0.0064441734
370,0.0059037227
380,0.0062566563
390,0.006431625
400,0.0054844026
410,0.005317607
420,0.0063063065
430,0.0058038817
440,0.0057502957
450,0.0061519807
460,0.0055859825
470,0.0055468767
480,0.0067114243
490,0.0058787325
500,0.0058456883
510,0.0060190503
520,0.0057534375
530,0.006385742
540,0.0059218267
550,0.0065152943
560,0.006340026
570,0.006077488
580,0.005193105
590,0.0060592545
600,0.0061865193
610,0.006011861
620,0.0065962286
630,0.006280495
640,0.005822485
650,0.006175012
660,0.0056205923
670,0.006446809
680,0.005257081
690,0.0055668456
700,0.0056750327
710,0.006910624
720,0.0058404957
730,0.0060836803
740,0.0056847697
750,0.005938691
760,0.005638984
770,0.006092054
780,0.0060260906
790,0.006497183
800,0.0054010907
810,0.005581734
820,0.0059301103
830,0.0053220503
840,0.0061532357
850,0.0064230603
860,0.0064089377
870,0.0062300693
880,0.0064272154
890,0.0056065493
900,0.00564516
910,0.0059541133
920,0.005269107
930,0.0062277173
940,0.005959695
950,0.0061107557
960,0.006290774
970,0.0057546403
980,0.006402723
990,0.0052184737
