step,train_acc
0,0.25
10,0.34375
20,0.2890625
30,0.3671875
40,0.3359375
50,0.296875
60,0.25
70,0.265625
80,0.28125
90,0.3515625
100,0.3203125
110,0.328125
120,0.2890625
130,0.2890625
140,0.3046875
150,0.25
160,0.28125
170,0.2265625
180,0.34375
190,0.3125
200,0.3203125
210,0.328125
220,0.3359375
230,0.3125
240,0.3203125
250,0.2890625
260,0.2421875
270,0.28125
280,0.2109375
290,0.3046875
300,0.2734375
310,0.28125
320,0.21875
330,0.2734375
340,0.34375
350,0.3359375
360,0.2578125
370,0.2578125
380,0.2890625
390,0.3125
400,0.3125
410,0.3515625
420,0.265625
430,0.296875
440,0.3046875
450,0.2734375
460,0.3828125
470,0.3828125
480,0.265625
490,0.2890625
500,0.2734375
510,0.296875
520,0.3046875
530,0.21875
540,0.3359375
550,0.265625
560,0.265625
570,0.3125
580,0.3671875
590,0.25
600,0.2578125
610,0.2578125
620,0.2734375
630,0.2734375
640,0.3125
650,0.3046875
660,0.3125
670,0.25
680,0.328125
690,0.34375
700,0.3515625
710,0.2109375
720,0.34375
730,0.3671875
740,0.3046875
750,0.3046875
760,0.3125
770,0.2890625
780,0.3359375
790,0.2578125
800,0.359375
810,0.3046875
820,0.2734375
830,0.375
840,0.2578125
850,0.2578125
860,0.296875
870,0.2265625
880,0.28125
890,0.3515625
900,0.296875
910,0.296875
920,0.28125
930,0.3125
940,0.3046875
950,0.3203125
960,0.2734375
970,0.3203125
980,0.2890625
990,0.2890625
