step,loss
0,0.77833194
100,0.46860015
200,0.3205605
300,0.2600627
400,0.15685418
500,0.13118136
600,0.10018132
700,0.07468689
800,0.06775068
900,0.05902892
1000,0.051137697
1100,0.051367022
1200,0.044850957
1300,0.045920074
