step,train_acc
0,0.328125
10,0.3515625
20,0.3125
30,0.2578125
40,0.296875
50,0.2890625
60,0.3046875
70,0.3359375
80,0.3125
90,0.25
100,0.328125
110,0.2734375
120,0.34375
130,0.2734375
140,0.3125
150,0.3203125
160,0.34375
170,0.296875
180,0.2734375
190,0.2578125
200,0.3359375
210,0.296875
220,0.3125
230,0.21875
240,0.3046875
250,0.2578125
260,0.28125
270,0.359375
280,0.2890625
290,0.3125
300,0.3671875
310,0.28125
320,0.2890625
330,0.3359375
340,0.328125
350,0.390625
360,0.2734375
370,0.2578125
380,0.28125
390,0.2890625
400,0.3125
410,0.328125
420,0.2890625
430,0.1796875
440,0.3203125
450,0.3125
460,0.296875
470,0.2734375
480,0.203125
490,0.3359375
500,0.2890625
510,0.3203125
520,0.3046875
530,0.296875
540,0.3203125
550,0.328125
560,0.3046875
570,0.28125
580,0.2578125
590,0.2890625
600,0.2578125
610,0.2578125
620,0.3359375
630,0.296875
640,0.3515625
650,0.2890625
660,0.296875
670,0.2734375
680,0.25
690,0.296875
700,0.328125
710,0.3515625
720,0.3203125
730,0.2890625
740,0.2890625
750,0.3359375
760,0.2734375
770,0.28125
780,0.2734375
790,0.328125
800,0.28125
810,0.234375
820,0.3515625
830,0.2734375
840,0.3203125
850,0.265625
860,0.2578125
870,0.359375
880,0.265625
890,0.1953125
900,0.2890625
910,0.28125
920,0.3125
930,0.2734375
940,0.3671875
950,0.2578125
960,0.3203125
970,0.265625
980,0.21875
990,0.328125
