step,loss
0,0.04095122
100,0.01368833
200,0.0149631845
300,0.012300355
400,0.013934717
500,0.012309942
600,0.009936468
700,0.013986375
800,0.012488975
900,0.010714335
1000,0.011524258
1100,0.011058868
1200,0.010420045
1300,0.01009489
1400,0.010030227
1500,0.009342575
1600,0.010822648
1700,0.012029302
1800,0.0081942
1900,0.009561764
2000,0.009807639
2100,0.007731545
2200,0.0069326605
2300,0.008506769
2400,0.010518127
2500,0.008576591
2600,0.00957013
2700,0.0077844327
2800,0.0066355327
2900,0.006657688
3000,0.0054903706
3100,0.0064619915
3200,0.004579355
3300,0.0061348905
3400,0.005218503
3500,0.0065334393
3600,0.0055032405
3700,0.006116506
