step,train_acc
0,0.2421875
10,0.1796875
20,0.28125
30,0.359375
40,0.28125
50,0.28125
60,0.328125
70,0.296875
80,0.3046875
90,0.2890625
100,0.3046875
110,0.28125
120,0.265625
130,0.25
140,0.28125
150,0.359375
160,0.2890625
170,0.2734375
180,0.3125
190,0.2734375
200,0.2734375
210,0.296875
220,0.25
230,0.2421875
240,0.375
250,0.3203125
260,0.25
270,0.3203125
280,0.2890625
290,0.3046875
300,0.2421875
310,0.3046875
320,0.3671875
330,0.2734375
340,0.3828125
350,0.3671875
360,0.3046875
370,0.328125
380,0.3125
390,0.2734375
400,0.296875
410,0.3359375
420,0.2890625
430,0.2578125
440,0.3125
450,0.3203125
460,0.3671875
470,0.296875
480,0.3046875
490,0.28125
500,0.3515625
510,0.1953125
520,0.28125
530,0.25
540,0.2734375
550,0.3046875
560,0.3203125
570,0.21875
580,0.3515625
590,0.359375
600,0.3359375
610,0.375
620,0.2734375
630,0.296875
640,0.2578125
650,0.28125
660,0.3828125
670,0.3046875
680,0.3203125
690,0.3046875
700,0.296875
710,0.3984375
720,0.296875
730,0.3046875
740,0.25
750,0.2734375
760,0.21875
770,0.2734375
780,0.25
790,0.3125
800,0.2734375
810,0.234375
820,0.2578125
830,0.359375
840,0.3828125
850,0.2734375
860,0.28125
870,0.2578125
880,0.328125
890,0.28125
900,0.28125
910,0.328125
920,0.21875
930,0.25
940,0.265625
950,0.3125
960,0.28125
970,0.3203125
980,0.3046875
990,0.265625
