step,loss
0,0.006515366
10,0.0072030895
20,0.0058841472
30,0.0060978066
40,0.0062871315
50,0.006030509
60,0.0060851197
70,0.0069660456
80,0.005882342
90,0.0063423854
100,0.0064430605
110,0.0060447776
120,0.0062904432
130,0.006262744
140,0.0065357983
150,0.0059945495
160,0.006247399
170,0.006207482
180,0.006087495
190,0.006074277
200,0.006609217
210,0.00619105
220,0.0065898085
230,0.006497971
240,0.005352513
250,0.0060826475
260,0.006262965
270,0.00549103
280,0.006447984
290,0.0060412795
300,0.00680347
310,0.0059411805
320,0.0055217682
330,0.006594023
340,0.0052140327
350,0.0054014097
360,0.006193429
370,0.0060659414
380,0.0062869196
390,0.006615729
400,0.0062461654
410,0.0057862666
420,0.006062616
430,0.006229046
440,0.0060445713
450,0.0061116586
460,0.005466943
470,0.0060873083
480,0.005880865
490,0.0061729397
500,0.006215964
510,0.0070933374
520,0.006117532
530,0.0068278383
540,0.0062081395
550,0.0057638055
560,0.0060893814
570,0.006361881
580,0.0059539485
590,0.0054810746
600,0.0059965113
610,0.0053892285
620,0.00619872
630,0.006597158
640,0.0063125617
650,0.0065638395
660,0.0054628327
670,0.0060939263
680,0.005812643
690,0.0063915057
700,0.0065267766
710,0.005313845
720,0.006023163
730,0.005597043
740,0.006583294
750,0.005894005
760,0.0066885785
770,0.00611839
780,0.0067148414
790,0.006349853
800,0.006663607
810,0.0064995755
820,0.006274463
830,0.005611283
840,0.0055323187
850,0.0061314413
860,0.0065449104
870,0.006715982
880,0.0055175233
890,0.00510597
900,0.005662346
910,0.005494642
920,0.007090955
930,0.00619468
940,0.00566546
950,0.005159794
960,0.006043846
970,0.0058255703
980,0.0059586763
990,0.006213275
