step,train_acc
0,0.265625
10,0.265625
20,0.25
30,0.359375
40,0.234375
50,0.234375
60,0.25
70,0.265625
80,0.1875
90,0.296875
100,0.234375
110,0.28125
120,0.3125
130,0.265625
140,0.25
150,0.203125
160,0.28125
170,0.21875
180,0.21875
190,0.328125
200,0.421875
210,0.265625
220,0.328125
230,0.25
240,0.328125
250,0.28125
260,0.296875
270,0.265625
280,0.265625
290,0.234375
300,0.265625
310,0.3125
320,0.296875
330,0.28125
340,0.3125
350,0.375
360,0.28125
370,0.3125
380,0.25
390,0.296875
400,0.25
410,0.234375
420,0.328125
430,0.328125
440,0.28125
450,0.28125
460,0.359375
470,0.359375
480,0.359375
490,0.21875
500,0.3125
510,0.28125
520,0.265625
530,0.265625
540,0.28125
550,0.234375
560,0.21875
570,0.265625
580,0.265625
590,0.28125
600,0.25
610,0.28125
620,0.25
630,0.34375
640,0.265625
650,0.328125
660,0.328125
670,0.375
680,0.25
690,0.359375
700,0.28125
710,0.25
720,0.25
730,0.3125
740,0.296875
750,0.328125
760,0.25
770,0.234375
780,0.359375
790,0.390625
800,0.28125
810,0.21875
820,0.3125
830,0.21875
840,0.21875
850,0.375
860,0.375
870,0.28125
880,0.375
890,0.328125
900,0.3125
910,0.265625
920,0.375
930,0.265625
940,0.390625
950,0.328125
960,0.390625
970,0.40625
980,0.28125
990,0.328125
1000,0.34375
1010,0.359375
1020,0.265625
1030,0.25
1040,0.3125
1050,0.28125
1060,0.25
1070,0.375
1080,0.25
1090,0.390625
1100,0.296875
1110,0.34375
1120,0.328125
1130,0.3125
1140,0.3125
1150,0.296875
1160,0.28125
1170,0.28125
1180,0.3125
1190,0.359375
1200,0.328125
1210,0.234375
1220,0.25
1230,0.234375
1240,0.296875
1250,0.296875
1260,0.28125
1270,0.1875
1280,0.1875
1290,0.296875
1300,0.4375
1310,0.3125
1320,0.328125
1330,0.25
1340,0.28125
1350,0.375
1360,0.359375
1370,0.28125
1380,0.25
1390,0.296875
1400,0.265625
1410,0.3125
1420,0.25
1430,0.375
1440,0.3125
1450,0.28125
1460,0.265625
1470,0.28125
1480,0.3125
1490,0.265625
1500,0.265625
1510,0.296875
1520,0.296875
1530,0.3125
1540,0.28125
1550,0.265625
1560,0.3125
1570,0.203125
1580,0.375
1590,0.1875
1600,0.265625
1610,0.3125
1620,0.40625
1630,0.28125
1640,0.265625
1650,0.34375
1660,0.3125
1670,0.28125
1680,0.1875
1690,0.359375
1700,0.328125
1710,0.140625
1720,0.234375
1730,0.25
1740,0.328125
1750,0.34375
1760,0.328125
1770,0.3125
1780,0.375
1790,0.25
1800,0.3125
1810,0.296875
1820,0.296875
1830,0.296875
1840,0.265625
1850,0.234375
1860,0.203125
1870,0.328125
1880,0.265625
1890,0.328125
1900,0.328125
1910,0.296875
1920,0.375
1930,0.21875
1940,0.3125
1950,0.3125
1960,0.390625
1970,0.296875
1980,0.265625
1990,0.359375
