step,loss
0,1.3877847
10,0.1996748
20,0.11031352
30,0.081746
40,0.06209012
50,0.06489833
60,0.04954292
70,0.047476854
80,0.04363016
90,0.04227335
100,0.04150162
110,0.040667053
120,0.0387476
130,0.039433688
140,0.034497775
150,0.035171453
160,0.034281686
170,0.03313109
180,0.031438153
190,0.032575138
200,0.03076155
210,0.031815816
220,0.02966161
230,0.031240104
240,0.028415894
250,0.030187622
260,0.03205447
270,0.030957138
280,0.031072622
290,0.03063091
300,0.028247075
310,0.030543046
320,0.02854242
330,0.028504375
340,0.031058561
350,0.028268866
360,0.027990056
370,0.030920865
380,0.030279692
390,0.028296445
400,0.029231459
410,0.029512048
420,0.030085167
430,0.028161641
440,0.027990084
450,0.029147008
460,0.028231906
470,0.02850037
480,0.027752856
490,0.029550089
500,0.02664053
510,0.0288636
520,0.029689556
530,0.030217921
540,0.02775553
550,0.028668817
560,0.028794942
570,0.029932527
580,0.028460078
590,0.027696233
600,0.02832101
610,0.028390696
620,0.027714778
630,0.028495668
640,0.027225446
650,0.028805813
660,0.027522134
670,0.026423594
680,0.029995644
690,0.027388744
700,0.027266268
710,0.026759608
720,0.030780468
730,0.0280262
740,0.027498027
750,0.027355554
760,0.026488416
770,0.028493412
780,0.028096657
790,0.027880225
800,0.02556392
810,0.027377827
820,0.0272683
830,0.027874842
840,0.028019475
850,0.026555832
860,0.02828227
870,0.029321603
880,0.027181275
890,0.026189307
900,0.027305415
910,0.027705176
920,0.027788043
930,0.02723006
940,0.028135391
950,0.027458802
960,0.02869133
970,0.025555976
980,0.026867514
990,0.027005186
