step,loss
0,0.048677895
100,0.029950127
200,0.027486263
300,0.025481204
400,0.025913525
500,0.025224715
600,0.02294643
700,0.02375535
800,0.022829585
900,0.022918086
1000,0.02393473
1100,0.021639587
1200,0.02583862
1300,0.020556362
1400,0.024103021
