step,train_acc
0,0.375
10,0.3203125
20,0.3828125
30,0.3515625
40,0.2890625
50,0.359375
60,0.296875
70,0.34375
80,0.390625
90,0.296875
100,0.2890625
110,0.390625
120,0.3359375
130,0.28125
140,0.328125
150,0.328125
160,0.359375
170,0.3203125
180,0.3359375
190,0.2890625
200,0.3515625
210,0.359375
220,0.3984375
230,0.3984375
240,0.3046875
250,0.3515625
260,0.2890625
270,0.34375
280,0.328125
290,0.3203125
300,0.3359375
310,0.4296875
320,0.265625
330,0.3671875
340,0.296875
350,0.375
360,0.3203125
370,0.3828125
380,0.40625
390,0.375
400,0.390625
410,0.296875
420,0.234375
430,0.3515625
440,0.3671875
450,0.3671875
460,0.359375
470,0.28125
480,0.3515625
490,0.3515625
500,0.3515625
510,0.2890625
520,0.34375
530,0.34375
540,0.3671875
550,0.34375
560,0.296875
570,0.34375
580,0.3828125
590,0.296875
600,0.328125
610,0.3125
620,0.328125
630,0.375
640,0.3203125
650,0.34375
660,0.3125
670,0.3203125
680,0.3828125
690,0.3515625
700,0.3984375
710,0.3046875
720,0.265625
730,0.3203125
740,0.3515625
750,0.3828125
760,0.296875
770,0.3046875
780,0.2890625
790,0.3203125
800,0.359375
810,0.3359375
820,0.296875
830,0.3515625
840,0.265625
850,0.328125
860,0.3359375
870,0.359375
880,0.34375
890,0.296875
900,0.359375
910,0.3671875
920,0.3515625
930,0.3359375
940,0.3203125
950,0.34375
960,0.390625
970,0.328125
980,0.25
990,0.3515625
1000,0.296875
1010,0.328125
1020,0.4140625
1030,0.3515625
1040,0.328125
1050,0.34375
1060,0.28125
1070,0.2734375
1080,0.328125
1090,0.40625
1100,0.375
1110,0.3046875
1120,0.3203125
1130,0.3046875
1140,0.2578125
1150,0.3359375
1160,0.34375
1170,0.3046875
1180,0.3125
1190,0.359375
