step,loss
0,0.028994465
10,0.025823968
20,0.024818417
30,0.025554024
40,0.025980609
50,0.023847742
60,0.023649836
70,0.023062056
80,0.023415048
90,0.022175126
100,0.024714015
110,0.022649866
120,0.023122147
130,0.024758516
140,0.023398671
150,0.022458807
160,0.023765251
170,0.025274875
180,0.02477957
190,0.0212483
200,0.024407294
210,0.025423653
220,0.024298996
230,0.025270976
240,0.02298763
250,0.025253307
260,0.023310576
270,0.024203748
280,0.02357018
290,0.023835337
300,0.02385649
310,0.02578785
320,0.025331516
330,0.023293631
340,0.024589919
350,0.02368836
360,0.023254918
370,0.024514534
380,0.024389897
390,0.022325704
400,0.023153331
410,0.022517884
420,0.024086095
430,0.021806816
440,0.02249874
450,0.02547349
460,0.024701986
470,0.023693105
480,0.025147418
490,0.0270008
500,0.022920256
510,0.020612767
520,0.022302888
530,0.023854766
540,0.023566209
550,0.023467554
560,0.023035176
570,0.022472557
580,0.022274377
590,0.025043383
600,0.024275115
610,0.02271214
620,0.023899635
630,0.024210768
640,0.023082685
650,0.02350821
660,0.024859263
670,0.022908043
680,0.023699548
690,0.025755856
700,0.02419068
710,0.024297763
720,0.02220795
730,0.022321194
740,0.02623989
750,0.025094932
760,0.020935703
770,0.024886983
780,0.021523207
790,0.02691726
800,0.023846159
810,0.023330955
820,0.025043488
830,0.02347972
840,0.022885175
850,0.023632962
860,0.021894088
870,0.023485838
880,0.022118403
890,0.022925884
900,0.02524118
910,0.022734657
920,0.021411577
930,0.021933068
940,0.023486547
950,0.024514345
960,0.022225
970,0.02317905
980,0.023745656
990,0.022839887
