step,loss
0,0.023402855
100,0.008113626
200,0.0070423805
300,0.0070855673
400,0.0060990164
500,0.0067883455
600,0.006586553
700,0.007050355
800,0.007315554
900,0.006262565
1000,0.00590347
1100,0.006233777
1200,0.006852721
1300,0.006218066
1400,0.006150067
1500,0.0061007505
1600,0.0065980125
1700,0.0058084987
1800,0.005832708
1900,0.0059764325
2000,0.006177947
2100,0.005863632
2200,0.0056520468
2300,0.0071982606
2400,0.0064792
2500,0.006651962
2600,0.0053054523
2700,0.006322068
2800,0.0066712657
2900,0.006518844
3000,0.0061145644
3100,0.006127952
3200,0.0061563184
3300,0.0065100924
3400,0.0063299933
3500,0.006736701
3600,0.006556899
3700,0.0066020447
3800,0.0053543057
3900,0.00569487
4000,0.006219142
4100,0.006545732
4200,0.006750985
4300,0.0061604627
4400,0.005425594
4500,0.005670351
4600,0.0056058303
4700,0.005416864
4800,0.0058104116
4900,0.0059842295
