step,train_acc
0,0.3046875
10,0.2734375
20,0.296875
30,0.3359375
40,0.3125
50,0.2421875
60,0.265625
70,0.34375
80,0.390625
90,0.296875
100,0.25
110,0.2421875
120,0.296875
130,0.2734375
140,0.2421875
150,0.328125
160,0.328125
170,0.265625
180,0.28125
190,0.1875
200,0.25
210,0.3046875
220,0.3125
230,0.3046875
240,0.3046875
250,0.25
260,0.2421875
270,0.2734375
280,0.234375
290,0.3359375
300,0.2578125
310,0.2890625
320,0.390625
330,0.2890625
340,0.3359375
350,0.2265625
360,0.328125
370,0.328125
380,0.2734375
390,0.3046875
400,0.2734375
410,0.3515625
420,0.1953125
430,0.3515625
440,0.3203125
450,0.2734375
460,0.328125
470,0.2890625
480,0.3515625
490,0.2578125
500,0.2890625
510,0.3671875
520,0.3515625
530,0.3359375
540,0.328125
550,0.3671875
560,0.3125
570,0.2578125
580,0.3203125
590,0.2734375
600,0.2890625
610,0.3046875
620,0.28125
630,0.2734375
640,0.2421875
650,0.2734375
660,0.2890625
670,0.3046875
680,0.296875
690,0.3203125
700,0.3125
710,0.234375
720,0.296875
730,0.34375
740,0.3203125
750,0.3203125
760,0.28125
770,0.2734375
780,0.296875
790,0.3046875
800,0.234375
810,0.2578125
820,0.2734375
830,0.3515625
840,0.296875
850,0.3359375
860,0.328125
870,0.3515625
880,0.28125
890,0.2890625
900,0.2109375
910,0.34375
920,0.3203125
930,0.3125
940,0.3046875
950,0.28125
960,0.3046875
970,0.3359375
980,0.3515625
990,0.28125
