step,loss
0,0.23543324
10,0.08383278
20,0.052292198
30,0.038168877
40,0.035218626
50,0.028014848
60,0.022037424
70,0.019512028
80,0.017693035
90,0.014556132
100,0.015362885
110,0.014097627
120,0.014897317
130,0.012476603
140,0.013172634
150,0.0125503745
160,0.013167039
170,0.01194318
180,0.010086419
190,0.010526598
200,0.009691998
210,0.009479486
220,0.008611772
230,0.009242637
240,0.009092961
250,0.0096548805
260,0.008514881
270,0.008260682
280,0.008782095
290,0.007971221
300,0.007969854
310,0.00770138
320,0.007555334
330,0.0077718142
340,0.007694598
350,0.008087216
360,0.007207052
370,0.0071563823
380,0.008015696
390,0.007108437
400,0.0076565235
410,0.006799546
420,0.007865231
430,0.0071385386
440,0.0068687634
450,0.0065279375
460,0.0062374417
470,0.0068941186
480,0.0068381247
490,0.007248157
500,0.0065396116
510,0.00635738
520,0.0067818603
530,0.0069337403
540,0.006295919
550,0.006031845
560,0.006899329
570,0.0067974487
580,0.006853599
590,0.006530854
600,0.0060436456
610,0.0069490913
620,0.0071136407
630,0.0064808712
640,0.0070846276
650,0.0067122336
660,0.0065653683
670,0.0062739365
680,0.006611992
690,0.00645932
700,0.0063741426
710,0.006797981
720,0.006031914
730,0.006273213
740,0.006177834
750,0.00605165
760,0.005907801
770,0.0068435255
780,0.0065795504
790,0.0067242733
800,0.006572487
810,0.0066432566
820,0.006412596
830,0.006096022
840,0.006338189
850,0.005974891
860,0.0062237885
870,0.005650827
880,0.0063933874
890,0.006311318
900,0.006863754
910,0.005551681
920,0.0062123192
930,0.0063666985
940,0.0065563316
950,0.006243638
960,0.0063847713
970,0.0055793487
980,0.0058410307
990,0.0060726213
