step,train_acc
0,0.0234375
10,0.3203125
20,0.25
30,0.28125
40,0.3046875
50,0.328125
60,0.203125
70,0.3125
80,0.359375
90,0.3046875
100,0.296875
110,0.40625
120,0.328125
130,0.3046875
140,0.3515625
150,0.3125
160,0.3359375
170,0.3359375
180,0.3203125
190,0.3125
200,0.3515625
210,0.3671875
220,0.328125
230,0.390625
240,0.3203125
250,0.34375
260,0.3359375
270,0.2890625
280,0.421875
290,0.40625
300,0.375
310,0.3359375
320,0.328125
330,0.4140625
340,0.328125
350,0.4140625
360,0.390625
370,0.359375
380,0.2578125
390,0.3984375
400,0.390625
410,0.3203125
420,0.3515625
430,0.3515625
440,0.3203125
450,0.3515625
460,0.3046875
470,0.3828125
480,0.2890625
490,0.34375
500,0.3125
510,0.3671875
520,0.2890625
530,0.359375
540,0.390625
550,0.3671875
560,0.3671875
570,0.328125
580,0.2890625
590,0.2890625
600,0.3828125
610,0.3125
620,0.34375
630,0.3203125
640,0.3125
650,0.2890625
660,0.3203125
670,0.3671875
680,0.3359375
690,0.40625
700,0.34375
710,0.34375
720,0.3984375
730,0.34375
740,0.34375
750,0.296875
760,0.359375
770,0.4140625
780,0.25
790,0.421875
800,0.421875
810,0.2890625
820,0.3046875
830,0.3125
840,0.28125
850,0.2890625
860,0.3359375
870,0.2578125
880,0.296875
890,0.375
900,0.3671875
910,0.328125
920,0.2890625
930,0.3828125
940,0.3515625
950,0.3515625
960,0.328125
970,0.359375
980,0.265625
990,0.2578125
1000,0.3828125
1010,0.3359375
1020,0.328125
1030,0.375
1040,0.34375
1050,0.375
1060,0.3359375
1070,0.359375
1080,0.3125
1090,0.3046875
1100,0.3203125
1110,0.3515625
1120,0.265625
1130,0.34375
1140,0.359375
1150,0.3046875
1160,0.296875
1170,0.3046875
1180,0.390625
1190,0.21875
