step,loss
0,0.25427243
10,0.24885443
20,0.12874515
30,0.09915787
40,0.084070474
50,0.06666592
60,0.053799614
70,0.05518046
80,0.0508865
90,0.04661817
100,0.049143415
110,0.04334064
120,0.0436344
130,0.0367648
140,0.03829734
150,0.037553262
160,0.038955774
170,0.0363328
180,0.036052346
190,0.033521272
200,0.034345247
210,0.034393635
220,0.03415875
230,0.032050014
240,0.03498242
250,0.03498889
260,0.03608816
270,0.03269102
280,0.033347964
290,0.031132866
300,0.029542293
310,0.030574054
320,0.031860106
330,0.028813872
340,0.031584408
350,0.031321228
360,0.03179645
370,0.031850602
380,0.03271951
390,0.031074991
400,0.029204393
410,0.0301265
420,0.03278688
430,0.032720476
440,0.030684536
450,0.030440792
460,0.031299256
470,0.029745417
480,0.031403657
490,0.03131109
500,0.03155961
510,0.0316811
520,0.031022457
530,0.029945636
540,0.028300038
550,0.02968074
560,0.031321973
570,0.029456414
580,0.029044881
590,0.029961072
600,0.030314473
610,0.03036169
620,0.029106837
630,0.03151616
640,0.029224306
650,0.03340528
660,0.03256924
670,0.030321648
680,0.02890115
690,0.027866444
700,0.028162694
710,0.030700328
720,0.030540157
730,0.031500213
740,0.028317446
750,0.0302436
760,0.029153785
770,0.026679454
780,0.031239187
790,0.029050298
800,0.02943436
810,0.028953755
820,0.030114805
830,0.032893233
840,0.029006215
850,0.029282704
860,0.03375326
870,0.03113641
880,0.028831001
890,0.028340537
900,0.029268002
910,0.02995399
920,0.029355844
930,0.027427474
940,0.02766337
950,0.031312734
960,0.027868131
970,0.029967163
980,0.03325671
990,0.030396318
1000,0.030916631
1010,0.028349748
1020,0.029077232
1030,0.027626142
1040,0.027681297
1050,0.028672948
1060,0.02867659
1070,0.027925707
1080,0.028469967
1090,0.030643126
1100,0.030786972
1110,0.028122336
1120,0.030344622
1130,0.028118258
1140,0.028104257
1150,0.028782338
1160,0.027884973
1170,0.028838515
1180,0.027950235
1190,0.03445391
