step,train_acc
0,0.015625
10,0.125
20,0.265625
30,0.2578125
40,0.2890625
50,0.2734375
60,0.265625
70,0.28125
80,0.296875
90,0.2890625
100,0.2578125
110,0.328125
120,0.359375
130,0.2734375
140,0.28125
150,0.234375
160,0.3125
170,0.3046875
180,0.234375
190,0.265625
200,0.2734375
210,0.265625
220,0.3125
230,0.2890625
240,0.34375
250,0.3046875
260,0.21875
270,0.25
280,0.28125
290,0.25
300,0.3671875
310,0.234375
320,0.2734375
330,0.3671875
340,0.1640625
350,0.3125
360,0.3203125
370,0.2578125
380,0.2421875
390,0.359375
400,0.3125
410,0.3203125
420,0.28125
430,0.3359375
440,0.28125
450,0.3359375
460,0.3359375
470,0.375
480,0.3515625
490,0.2734375
500,0.3671875
510,0.328125
520,0.2734375
530,0.2421875
540,0.3046875
550,0.2890625
560,0.2421875
570,0.25
580,0.265625
590,0.3203125
600,0.28125
610,0.3046875
620,0.3203125
630,0.3125
640,0.296875
650,0.296875
660,0.2890625
670,0.3984375
680,0.2890625
690,0.328125
700,0.3359375
710,0.296875
720,0.21875
730,0.3203125
740,0.34375
750,0.296875
760,0.34375
770,0.2734375
780,0.2890625
790,0.25
800,0.3828125
810,0.3046875
820,0.3515625
830,0.2734375
840,0.2734375
850,0.3359375
860,0.2578125
870,0.3046875
880,0.28125
890,0.3203125
900,0.2890625
910,0.2890625
920,0.3046875
930,0.265625
940,0.328125
950,0.3046875
960,0.2734375
970,0.3359375
980,0.34375
990,0.3359375
