step,train_acc
0,0.3359375
10,0.2265625
20,0.3515625
30,0.3046875
40,0.28125
50,0.203125
60,0.3828125
70,0.328125
80,0.3515625
90,0.3359375
100,0.3125
110,0.2734375
120,0.2890625
130,0.3515625
140,0.2109375
150,0.3515625
160,0.234375
170,0.3359375
180,0.328125
190,0.234375
200,0.21875
210,0.296875
220,0.265625
230,0.3125
240,0.3046875
250,0.234375
260,0.3828125
270,0.375
280,0.3359375
290,0.3359375
300,0.28125
310,0.328125
320,0.3671875
330,0.2734375
340,0.28125
350,0.2890625
360,0.28125
370,0.2890625
380,0.2265625
390,0.328125
400,0.2578125
410,0.3046875
420,0.3046875
430,0.3125
440,0.3125
450,0.328125
460,0.25
470,0.3125
480,0.3046875
490,0.234375
500,0.2578125
510,0.3359375
520,0.3203125
530,0.3203125
540,0.34375
550,0.296875
560,0.3046875
570,0.2578125
580,0.3125
590,0.3984375
600,0.390625
610,0.25
620,0.3046875
630,0.296875
640,0.3203125
650,0.234375
660,0.2578125
670,0.3203125
680,0.265625
690,0.3203125
700,0.3828125
710,0.2890625
720,0.3203125
730,0.3203125
740,0.2734375
750,0.234375
760,0.28125
770,0.28125
780,0.2109375
790,0.265625
800,0.3046875
810,0.34375
820,0.2890625
830,0.296875
840,0.296875
850,0.40625
860,0.2890625
870,0.28125
880,0.328125
890,0.328125
900,0.2890625
910,0.3359375
920,0.34375
930,0.28125
940,0.265625
950,0.328125
960,0.1875
970,0.203125
980,0.2734375
990,0.3125
