step,loss
0,0.008616159
10,0.007628976
20,0.006696956
30,0.0062085004
40,0.0068701915
50,0.0059101614
60,0.005966571
70,0.00653018
80,0.0052876673
90,0.005812
100,0.0060562147
110,0.006607784
120,0.0054725907
130,0.0058840928
140,0.0059711775
150,0.0060354616
160,0.0055233417
170,0.0066799587
180,0.006439414
190,0.00602029
200,0.005920492
210,0.0056521557
220,0.006166016
230,0.005944787
240,0.006488118
250,0.0054532746
260,0.0059455046
270,0.0052496125
280,0.0058845654
290,0.006290685
300,0.006038548
310,0.0056556663
320,0.0055927592
330,0.005722611
340,0.006154094
350,0.0057310816
360,0.005753818
370,0.005717995
380,0.006233002
390,0.0051405267
400,0.0066275126
410,0.0055560456
420,0.006086729
430,0.005869564
440,0.0059974515
450,0.005933368
460,0.005882488
470,0.0059913048
480,0.0055248924
490,0.0060383626
500,0.0058309836
510,0.0060000443
520,0.005605904
530,0.006139797
540,0.006546748
550,0.005844754
560,0.0059995465
570,0.0054269815
580,0.005995966
590,0.0065726303
600,0.006287121
610,0.005813746
620,0.0059549795
630,0.0061960067
640,0.0058573065
650,0.0058071017
660,0.0058760503
670,0.005458449
680,0.006145166
690,0.005720466
700,0.0052888356
710,0.005815527
720,0.0059110285
730,0.005422291
740,0.005924788
750,0.0058238003
760,0.0071680658
770,0.006290201
780,0.0056571923
790,0.0060933423
800,0.0060301046
810,0.0062269024
820,0.0062243105
830,0.006415499
840,0.006020373
850,0.0062550143
860,0.005837459
870,0.0059832497
880,0.005732251
890,0.006068145
900,0.0071244375
910,0.006206493
920,0.0057036043
930,0.0058477875
940,0.0063103437
950,0.0062667164
960,0.0060456865
970,0.0057408386
980,0.0051528295
990,0.0061758044
