step,train_acc
0,0.2734375
10,0.3359375
20,0.3046875
30,0.296875
40,0.3046875
50,0.2734375
60,0.234375
70,0.2890625
80,0.3515625
90,0.2890625
100,0.28125
110,0.2578125
120,0.328125
130,0.296875
140,0.3046875
150,0.28125
160,0.328125
170,0.2109375
180,0.25
190,0.2734375
200,0.2578125
210,0.3203125
220,0.3203125
230,0.296875
240,0.21875
250,0.34375
260,0.265625
270,0.3828125
280,0.3125
290,0.2890625
300,0.2890625
310,0.2578125
320,0.3359375
330,0.2890625
340,0.3359375
350,0.3046875
360,0.3203125
370,0.34375
380,0.2578125
390,0.375
400,0.2265625
410,0.3203125
420,0.328125
430,0.34375
440,0.3203125
450,0.2734375
460,0.3046875
470,0.2734375
480,0.3125
490,0.25
500,0.34375
510,0.3046875
520,0.28125
530,0.28125
540,0.28125
550,0.3046875
560,0.2890625
570,0.34375
580,0.28125
590,0.234375
600,0.28125
610,0.3046875
620,0.296875
630,0.2734375
640,0.34375
650,0.3046875
660,0.328125
670,0.3515625
680,0.25
690,0.3203125
700,0.3828125
710,0.28125
720,0.265625
730,0.3046875
740,0.3515625
750,0.3515625
760,0.234375
770,0.2421875
780,0.28125
790,0.25
800,0.265625
810,0.296875
820,0.3125
830,0.2734375
840,0.28125
850,0.265625
860,0.265625
870,0.234375
880,0.3203125
890,0.2578125
900,0.234375
910,0.3046875
920,0.328125
930,0.359375
940,0.203125
950,0.234375
960,0.3046875
970,0.3203125
980,0.3828125
990,0.3046875
